CoC Number,CoC Name,Overall.Total,Children & Youth Under 18,Youth 18 to 24,Youth & People 25 to 34,People 35 to 44,People 45 to 54,People 55 to 64,People Over 64,Women,Men,Transgender,Nonbinary,Gender Questioning,Non-Latino & Non-Hispanic,Latino,White,Black,Asian,Indigenous,Native Hawiian or Pacific Islander,Multiracial,Emergency Shelter,Transitional Housing Shelter,Safe Haven,In Shelter,Unsheltered,Year
FL-519,Pasco County CoC,1019,224,135,NA,NA,NA,NA,NA,479,540,0,NA,NA,970,49,864,127,0,9,0,19,96,63,0,159,860,2015
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",731,127,63,NA,NA,NA,NA,NA,311,420,0,NA,NA,622,109,576,134,1,7,5,8,191,76,0,267,464,2015
FL-600,Miami-Dade County CoC,4152,945,255,NA,NA,NA,NA,NA,1327,2792,33,NA,NA,2684,1468,1723,2234,2,1,3,189,1669,1450,26,3145,1007,2015
FL-601,Ft Lauderdale/Broward County CoC,2615,360,176,NA,NA,NA,NA,NA,856,1754,5,NA,NA,2239,376,1167,1406,15,16,3,8,874,888,34,1796,819,2015
FL-602,Punta Gorda/Charlotte County CoC,562,173,14,NA,NA,NA,NA,NA,233,329,0,NA,NA,509,53,516,31,3,12,0,0,59,101,2,162,400,2015
FL-603,"Ft Myers, Cape Coral/Lee County CoC",614,65,41,NA,NA,NA,NA,NA,206,408,0,NA,NA,537,77,437,157,0,7,4,9,223,77,0,300,314,2015
FL-604,Monroe County CoC,615,35,23,NA,NA,NA,NA,NA,153,461,1,NA,NA,553,62,518,49,2,16,7,23,191,110,0,301,314,2015
FL-605,West Palm Beach/Palm Beach County CoC,1421,140,100,NA,NA,NA,NA,NA,414,1007,0,NA,NA,1252,169,804,573,2,11,3,28,306,275,15,596,825,2015
FL-606,Naples/Collier County CoC,389,69,32,NA,NA,NA,NA,NA,143,246,0,NA,NA,296,93,295,57,4,1,0,32,211,134,0,345,44,2015
GA-500,Atlanta CoC,4317,369,216,NA,NA,NA,NA,NA,1051,3238,28,NA,NA,4160,157,667,3505,16,2,2,125,1688,1592,0,3280,1037,2015
GA-501,Georgia Balance of State CoC,5797,1445,359,NA,NA,NA,NA,NA,2504,3293,0,NA,NA,5447,350,2631,2886,14,15,46,205,1248,1031,0,2279,3518,2015
GA-502,Fulton County CoC,473,113,52,NA,NA,NA,NA,NA,213,259,1,NA,NA,467,6,49,420,2,0,0,2,137,283,0,420,53,2015
GA-503,Athens-Clarke County CoC,226,26,11,NA,NA,NA,NA,NA,80,146,0,NA,NA,133,93,100,120,0,2,0,4,127,8,0,135,91,2015
GA-504,Augusta-Richmond County CoC,407,74,22,NA,NA,NA,NA,NA,154,253,0,NA,NA,401,6,119,268,1,2,1,16,145,133,0,278,129,2015
GA-505,Columbus-Muscogee CoC,371,30,20,NA,NA,NA,NA,NA,122,248,1,NA,NA,362,9,139,223,0,1,0,8,170,36,0,206,165,2015
GA-506,Marietta/Cobb County CoC,415,136,18,NA,NA,NA,NA,NA,193,222,0,NA,NA,389,26,124,274,1,1,1,14,110,214,0,324,91,2015
GA-507,Savannah/Chatham County CoC,1100,90,67,NA,NA,NA,NA,NA,284,816,0,NA,NA,1066,34,394,685,5,5,0,11,268,310,0,578,522,2015
GA-508,DeKalb County CoC,684,217,47,NA,NA,NA,NA,NA,277,407,0,NA,NA,664,20,84,574,1,2,1,22,91,396,0,487,197,2015
GU-500,Guam CoC,1280,520,123,NA,NA,NA,NA,NA,609,671,0,NA,NA,1274,6,11,4,46,1,1191,27,73,14,0,87,1193,2015
HI-500,Hawaii Balance of State CoC,2717,580,211,NA,NA,NA,NA,NA,1072,1641,4,NA,NA,2412,305,1025,70,89,47,841,645,262,551,0,813,1904,2015
HI-501,Honolulu City and County CoC,4903,1338,320,NA,NA,NA,NA,NA,2102,2785,16,NA,NA,4267,636,827,193,388,48,2137,1310,995,1943,26,2964,1939,2015
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",276,108,41,NA,NA,NA,NA,NA,133,143,0,NA,NA,228,48,168,32,0,41,6,29,89,176,0,265,11,2015
IA-501,Iowa Balance of State CoC,1975,755,203,NA,NA,NA,NA,NA,953,1019,3,NA,NA,1828,147,1205,592,9,20,11,138,737,1139,0,1876,99,2015
IA-502,Des Moines/Polk County CoC,830,167,74,NA,NA,NA,NA,NA,323,506,1,NA,NA,777,53,599,179,7,7,0,38,399,338,0,737,93,2015
ID-500,Boise/Ada County CoC,755,89,55,NA,NA,NA,NA,NA,253,500,2,NA,NA,695,60,651,43,4,37,5,15,451,223,0,674,81,2015
ID-501,Idaho Balance of State CoC,1211,395,105,NA,NA,NA,NA,NA,587,623,1,NA,NA,1034,177,1082,26,7,72,11,13,339,484,0,823,388,2015
IL-500,McHenry County CoC,177,40,5,NA,NA,NA,NA,NA,66,111,0,NA,NA,157,20,141,16,0,11,0,9,83,85,0,168,9,2015
IL-501,"Rockford/DeKalb, Winnebago, Boone Counties CoC",428,124,56,NA,NA,NA,NA,NA,235,193,0,NA,NA,360,68,197,188,0,4,1,38,231,166,0,397,31,2015
IL-502,"Waukegan, North Chicago/Lake County CoC",386,117,34,NA,NA,NA,NA,NA,194,192,0,NA,NA,297,89,188,168,1,1,0,28,215,166,0,381,5,2015
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",163,30,25,NA,NA,NA,NA,NA,42,121,0,NA,NA,156,7,76,79,0,2,0,6,10,143,0,153,10,2015
IL-504,Madison County CoC,168,86,12,NA,NA,NA,NA,NA,96,72,0,NA,NA,162,6,87,67,0,0,0,14,50,94,0,144,24,2015
IL-506,"Joliet, Bolingbrook/Will County CoC",340,89,24,NA,NA,NA,NA,NA,140,200,0,NA,NA,315,25,161,173,0,0,0,6,190,124,0,314,26,2015
IL-507,"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC",451,126,52,NA,NA,NA,NA,NA,182,269,0,NA,NA,436,15,256,162,6,0,0,27,242,141,0,383,68,2015
IL-508,"East St. Louis, Belleville/St. Clair County CoC",318,95,26,NA,NA,NA,NA,NA,140,178,0,NA,NA,316,2,72,241,0,0,2,3,47,119,0,166,152,2015
IL-510,Chicago CoC,6786,1422,691,NA,NA,NA,NA,NA,2406,4361,19,NA,NA,5690,1096,1337,5180,47,15,14,193,1556,3136,39,4731,2055,2015
IL-511,Cook County CoC,895,233,64,NA,NA,NA,NA,NA,388,507,0,NA,NA,782,113,395,455,13,6,2,24,414,356,15,785,110,2015
IL-512,Bloomington/Central Illinois CoC,619,196,72,NA,NA,NA,NA,NA,316,303,0,NA,NA,548,71,292,283,3,1,0,40,446,98,21,565,54,2015
IL-513,Springfield/Sangamon County CoC,326,68,25,NA,NA,NA,NA,NA,133,193,0,NA,NA,301,25,137,171,0,3,0,15,182,129,0,311,15,2015
IL-514,DuPage County CoC,672,240,84,NA,NA,NA,NA,NA,361,310,1,NA,NA,569,103,400,212,22,1,1,36,204,438,0,642,30,2015
IL-515,South Central Illinois CoC,122,46,8,NA,NA,NA,NA,NA,62,60,0,NA,NA,114,8,104,14,1,1,0,2,43,55,0,98,24,2015
IL-516,Decatur/Macon County CoC,238,41,24,NA,NA,NA,NA,NA,98,140,0,NA,NA,237,1,133,93,0,3,0,9,107,92,0,199,39,2015
IL-517,"Aurora, Elgin/Kane County CoC",388,78,24,NA,NA,NA,NA,NA,137,251,0,NA,NA,310,78,225,136,3,3,0,21,304,70,0,374,14,2015
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",254,44,41,NA,NA,NA,NA,NA,91,163,0,NA,NA,192,62,161,80,0,0,0,13,119,109,10,238,16,2015
IL-519,West Central Illinois CoC,100,27,28,NA,NA,NA,NA,NA,52,48,0,NA,NA,98,2,79,11,3,2,0,5,55,43,0,98,2,2015
IL-520,Southern Illinois CoC,346,85,54,NA,NA,NA,NA,NA,152,194,0,NA,NA,338,8,249,69,1,0,0,27,186,130,0,316,30,2015
IN-502,Indiana Balance of State CoC,4197,968,371,NA,NA,NA,NA,NA,1773,2424,0,NA,NA,4029,168,2818,1175,6,25,14,159,2265,1435,25,3725,472,2015
IN-503,Indianapolis CoC,1666,293,121,NA,NA,NA,NA,NA,586,1073,7,NA,NA,1618,48,678,910,11,19,2,46,817,715,23,1555,111,2015
KS-502,Wichita/Sedgwick County CoC,561,97,48,NA,NA,NA,NA,NA,187,374,0,NA,NA,499,62,324,160,8,20,1,48,354,96,12,462,99,2015
KS-503,Topeka/Shawnee County CoC,405,83,31,NA,NA,NA,NA,NA,184,221,0,NA,NA,382,23,221,94,4,49,3,34,287,85,0,372,33,2015
KS-505,"Overland Park, Shawnee/Johnson County CoC",174,94,13,NA,NA,NA,NA,NA,106,68,0,NA,NA,137,37,122,43,0,0,0,9,94,57,0,151,23,2015
KS-507,Kansas Balance of State CoC,1208,363,65,NA,NA,NA,NA,NA,557,648,3,NA,NA,1077,131,906,208,0,34,4,56,564,529,0,1093,115,2015
KY-500,Kentucky Balance of State CoC,2119,526,201,NA,NA,NA,NA,NA,995,1120,4,NA,NA,2058,61,1756,232,4,17,6,104,967,530,0,1497,622,2015
KY-501,Louisville-Jefferson County CoC,1161,204,75,NA,NA,NA,NA,NA,348,811,2,NA,NA,1132,29,495,597,2,3,2,62,661,419,0,1080,81,2015
KY-502,Lexington-Fayette County CoC,1258,131,76,NA,NA,NA,NA,NA,363,892,3,NA,NA,1213,45,837,364,1,18,7,31,653,566,0,1219,39,2015
LA-500,Lafayette/Acadiana CoC,493,105,36,NA,NA,NA,NA,NA,191,302,0,NA,NA,478,15,192,281,5,4,0,11,182,191,0,373,120,2015
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",390,53,25,NA,NA,NA,NA,NA,131,259,0,NA,NA,385,5,146,222,1,7,0,14,212,69,29,310,80,2015
LA-503,New Orleans/Jefferson Parish CoC,1703,137,248,NA,NA,NA,NA,NA,476,1217,10,NA,NA,1643,60,626,1024,12,24,13,4,457,447,10,914,789,2015
LA-505,Monroe/Northeast Louisiana CoC,191,76,22,NA,NA,NA,NA,NA,111,80,0,NA,NA,191,0,40,147,0,2,0,2,33,137,0,170,21,2015
LA-506,Slidell/Southeast Louisiana CoC,243,68,11,NA,NA,NA,NA,NA,98,144,1,NA,NA,241,2,97,140,0,0,0,6,70,123,0,193,50,2015
LA-507,Alexandria/Central Louisiana CoC,154,15,15,NA,NA,NA,NA,NA,76,77,1,NA,NA,154,0,53,94,1,1,0,5,50,80,0,130,24,2015
LA-509,Louisiana Balance of State CoC,907,127,86,NA,NA,NA,NA,NA,290,615,2,NA,NA,890,17,382,487,2,12,1,23,302,498,0,800,107,2015
MA-500,Boston CoC,6492,2265,560,NA,NA,NA,NA,NA,3014,3478,0,NA,NA,4315,2177,2327,2977,72,36,31,1049,5325,1006,22,6353,139,2015
MA-502,Lynn CoC,445,102,80,NA,NA,NA,NA,NA,182,262,1,NA,NA,336,109,294,79,11,0,4,57,382,46,0,428,17,2015
MA-503,Cape Cod Islands CoC,362,92,41,NA,NA,NA,NA,NA,159,203,0,NA,NA,322,40,298,59,5,0,0,0,263,52,0,315,47,2015
MA-504,Springfield/Hampden County CoC,3002,1606,366,NA,NA,NA,NA,NA,1640,1362,0,NA,NA,1273,1729,2271,657,30,3,10,31,2798,188,6,2992,10,2015
MA-505,New Bedford CoC,437,104,37,NA,NA,NA,NA,NA,188,249,0,NA,NA,355,82,316,70,3,8,8,32,162,225,0,387,50,2015
MA-506,Worcester City & County CoC,1682,713,145,NA,NA,NA,NA,NA,888,794,0,NA,NA,1127,555,1148,466,7,3,14,44,1216,378,12,1606,76,2015
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",781,212,60,NA,NA,NA,NA,NA,296,484,1,NA,NA,626,155,628,127,3,7,1,15,495,267,0,762,19,2015
MA-509,Cambridge CoC,464,71,36,NA,NA,NA,NA,NA,153,311,0,NA,NA,373,91,267,172,10,1,0,14,271,161,0,432,32,2015
MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County CoC",1803,790,174,NA,NA,NA,NA,NA,962,840,1,NA,NA,1484,319,791,908,5,10,3,86,1729,46,0,1775,28,2015
MA-515,Fall River CoC,406,177,30,NA,NA,NA,NA,NA,224,182,0,NA,NA,280,126,321,77,0,0,0,8,316,90,0,406,0,2015
MA-516,Massachusetts Balance of State CoC,5021,2354,491,NA,NA,NA,NA,NA,2781,2238,2,NA,NA,3025,1996,3099,1518,60,32,73,239,4341,540,6,4887,134,2015
MA-519,"Attleboro, Taunton/Bristol County CoC",240,97,27,NA,NA,NA,NA,NA,115,125,0,NA,NA,204,36,162,65,0,0,0,13,146,53,0,199,41,2015
MD-501,Baltimore CoC,2796,400,214,NA,NA,NA,NA,NA,815,1977,4,NA,NA,2713,83,685,2042,7,13,7,42,1055,1364,40,2459,337,2015
MD-503,Annapolis/Anne Arundel County CoC,335,69,12,NA,NA,NA,NA,NA,134,201,0,NA,NA,321,14,169,147,5,1,1,12,220,67,0,287,48,2015
MD-504,Howard County CoC,166,50,14,NA,NA,NA,NA,NA,75,91,0,NA,NA,149,17,67,85,5,2,0,7,87,36,0,123,43,2015
MD-505,Baltimore County CoC,745,175,50,NA,NA,NA,NA,NA,312,433,0,NA,NA,731,14,332,384,10,2,1,16,430,20,0,450,295,2015
MD-506,Carroll County CoC,140,44,7,NA,NA,NA,NA,NA,60,79,1,NA,NA,136,4,101,25,0,0,0,14,82,25,22,129,11,2015
MD-511,Mid-Shore Regional CoC,158,34,14,NA,NA,NA,NA,NA,66,92,0,NA,NA,154,4,94,59,0,0,0,5,90,33,0,123,35,2015
MD-513,"Wicomico, Somerset, Worcester Counties CoC",326,43,23,NA,NA,NA,NA,NA,120,206,0,NA,NA,321,5,154,156,2,0,0,14,232,46,0,278,48,2015
MD-514,Maryland Balance of State CoC,1999,539,204,NA,NA,NA,NA,NA,846,1152,1,NA,NA,1935,64,1022,828,15,24,7,103,853,423,0,1276,723,2015
MD-600,Prince George's County CoC,625,234,61,NA,NA,NA,NA,NA,311,314,0,NA,NA,517,108,59,473,2,1,9,81,228,244,0,472,153,2015
MD-601,Montgomery County CoC,1100,320,65,NA,NA,NA,NA,NA,506,594,0,NA,NA,910,190,333,721,12,10,11,13,676,285,36,997,103,2015
ME-500,Maine Statewide CoC,2372,637,245,NA,NA,NA,NA,NA,1145,1218,9,NA,NA,2297,75,2036,213,6,25,8,84,1085,1215,13,2313,59,2015
MI-500,Michigan Balance of State CoC,1824,570,302,NA,NA,NA,NA,NA,914,909,1,NA,NA,1727,97,1453,253,1,31,4,82,900,700,0,1600,224,2015
MI-501,Detroit CoC,2597,440,245,NA,NA,NA,NA,NA,825,1771,1,NA,NA,2550,47,225,2306,14,2,8,42,1312,1112,22,2446,151,2015
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",333,119,31,NA,NA,NA,NA,NA,169,164,0,NA,NA,314,19,155,157,0,8,0,13,128,183,11,322,11,2015
MI-503,"St. Clair Shores, Warren/Macomb County CoC",450,63,114,NA,NA,NA,NA,NA,96,354,0,NA,NA,440,10,223,225,2,0,0,0,215,150,16,381,69,2015
MI-504,"Pontiac, Royal Oak/Oakland County CoC",485,110,47,NA,NA,NA,NA,NA,199,286,0,NA,NA,475,10,166,300,1,3,2,13,246,143,0,389,96,2015
MI-505,Flint/Genesee County CoC,488,100,60,NA,NA,NA,NA,NA,205,282,1,NA,NA,480,8,106,335,0,5,0,42,172,136,0,308,180,2015
MI-506,"Grand Rapids, Wyoming/Kent County CoC",912,307,80,NA,NA,NA,NA,NA,388,523,1,NA,NA,795,117,388,449,2,10,2,61,408,478,0,886,26,2015
MI-507,"Portage, Kalamazoo City & County CoC",568,246,66,NA,NA,NA,NA,NA,332,236,0,NA,NA,537,31,183,347,0,0,0,38,328,232,0,560,8,2015
MI-508,"Lansing, East Lansing/Ingham County CoC",418,85,33,NA,NA,NA,NA,NA,167,251,0,NA,NA,393,25,179,204,0,2,0,33,306,59,0,365,53,2015
MI-509,Washtenaw County CoC,372,45,23,NA,NA,NA,NA,NA,100,272,0,NA,NA,360,12,183,166,1,1,0,21,231,61,0,292,80,2015
MI-510,Saginaw City & County CoC,308,83,32,NA,NA,NA,NA,NA,156,152,0,NA,NA,294,14,103,194,0,2,0,9,175,108,6,289,19,2015
MI-511,Lenawee County CoC,128,49,16,NA,NA,NA,NA,NA,53,75,0,NA,NA,104,24,105,12,0,2,0,9,70,40,0,110,18,2015
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",302,49,45,NA,NA,NA,NA,NA,113,189,0,NA,NA,290,12,267,12,5,6,1,11,214,51,0,265,37,2015
MI-514,Battle Creek/Calhoun County CoC,285,67,16,NA,NA,NA,NA,NA,98,187,0,NA,NA,275,10,146,130,1,5,1,2,156,70,0,226,59,2015
MI-515,Monroe City & County CoC,185,33,16,NA,NA,NA,NA,NA,82,103,0,NA,NA,175,10,148,30,0,2,2,3,88,93,0,181,4,2015
MI-516,"Norton Shores, Muskegon City & County CoC",179,37,37,NA,NA,NA,NA,NA,81,98,0,NA,NA,169,10,83,85,0,0,0,11,133,33,0,166,13,2015
MI-517,Jackson City & County CoC,159,67,15,NA,NA,NA,NA,NA,78,81,0,NA,NA,152,7,85,64,0,0,0,10,71,81,0,152,7,2015
MI-518,Livingston County CoC,103,37,9,NA,NA,NA,NA,NA,51,52,0,NA,NA,100,3,99,0,0,0,2,2,55,46,0,101,2,2015
MI-519,Holland/Ottawa County CoC,285,100,29,NA,NA,NA,NA,NA,117,168,0,NA,NA,236,49,204,58,2,0,0,21,137,142,0,279,6,2015
MI-523,Eaton County CoC,135,79,8,NA,NA,NA,NA,NA,85,50,0,NA,NA,120,15,111,16,0,0,0,8,48,78,0,126,9,2015
MN-500,Minneapolis/Hennepin County CoC,3215,1154,294,NA,NA,NA,NA,NA,1541,1658,16,NA,NA,3018,197,577,2170,67,197,16,188,1733,1359,0,3092,123,2015
MN-501,Saint Paul/Ramsey County CoC,1398,443,200,NA,NA,NA,NA,NA,701,692,5,NA,NA,1226,172,352,706,32,70,5,233,758,556,0,1314,84,2015
MN-502,Rochester/Southeast Minnesota CoC,451,218,39,NA,NA,NA,NA,NA,258,193,0,NA,NA,428,23,278,145,9,6,0,13,217,212,0,429,22,2015
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",608,195,113,NA,NA,NA,NA,NA,289,319,0,NA,NA,513,95,376,171,3,16,5,37,287,141,0,428,180,2015
MN-504,Northeast Minnesota CoC,68,25,12,NA,NA,NA,NA,NA,36,32,0,NA,NA,68,0,56,0,2,6,0,4,9,36,0,45,23,2015
MN-505,St. Cloud/Central Minnesota CoC,696,199,164,NA,NA,NA,NA,NA,313,378,5,NA,NA,672,24,446,95,2,128,0,25,297,194,0,491,205,2015
MN-506,Northwest Minnesota CoC,254,92,39,NA,NA,NA,NA,NA,130,123,1,NA,NA,221,33,101,21,1,77,2,52,112,127,0,239,15,2015
MN-508,Moorhead/West Central Minnesota CoC,242,80,43,NA,NA,NA,NA,NA,122,120,0,NA,NA,223,19,110,61,1,46,0,24,153,81,0,234,8,2015
MN-509,Duluth/St.Louis County CoC,490,144,73,NA,NA,NA,NA,NA,235,255,0,NA,NA,478,12,247,85,0,116,1,41,136,187,0,323,167,2015
MN-511,Southwest Minnesota CoC,124,57,16,NA,NA,NA,NA,NA,68,56,0,NA,NA,90,34,98,12,0,1,0,13,62,48,0,110,14,2015
MO-500,St. Louis County CoC,438,178,78,NA,NA,NA,NA,NA,266,172,0,NA,NA,438,0,86,344,0,0,0,8,203,176,0,379,59,2015
MO-501,St.Louis City CoC,1312,362,189,NA,NA,NA,NA,NA,625,687,0,NA,NA,1241,71,296,987,2,3,8,16,554,622,24,1200,112,2015
MO-503,"St. Charles City & County, Lincoln, Warren Counties CoC",803,328,86,NA,NA,NA,NA,NA,378,425,0,NA,NA,781,22,474,298,2,0,0,29,399,157,0,556,247,2015
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",584,161,56,NA,NA,NA,NA,NA,285,299,0,NA,NA,574,10,476,72,0,7,1,28,313,96,0,409,175,2015
MO-602,"Joplin/Jasper, Newton Counties CoC",258,65,18,NA,NA,NA,NA,NA,100,158,0,NA,NA,247,11,220,21,0,2,2,13,108,130,0,238,20,2015
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",164,36,11,NA,NA,NA,NA,NA,70,94,0,NA,NA,160,4,107,34,0,4,4,15,88,50,18,156,8,2015
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",1686,413,111,NA,NA,NA,NA,NA,704,982,0,NA,NA,1585,101,860,696,4,13,3,110,949,572,9,1530,156,2015
MO-606,Missouri Balance of State CoC,1477,428,147,NA,NA,NA,NA,NA,721,755,1,NA,NA,1428,49,1122,247,13,17,8,70,819,321,8,1148,329,2015
MS-500,"Jackson/Rankin, Madison Counties CoC",762,115,27,NA,NA,NA,NA,NA,295,467,0,NA,NA,762,0,98,662,1,1,0,0,163,263,0,426,336,2015
MS-501,Mississippi Balance of State CoC,809,188,59,NA,NA,NA,NA,NA,309,500,0,NA,NA,798,11,248,549,0,3,5,4,244,322,0,566,243,2015
MS-503,Gulf Port/Gulf Coast Regional CoC,412,37,19,NA,NA,NA,NA,NA,157,255,0,NA,NA,402,10,231,161,1,6,9,4,116,33,0,149,263,2015
MT-500,Montana Statewide CoC,1709,374,225,NA,NA,NA,NA,NA,711,996,2,NA,NA,1579,130,1281,38,0,321,5,64,535,302,0,837,872,2015
NC-500,Winston-Salem/Forsyth County CoC,571,94,41,NA,NA,NA,NA,NA,197,374,0,NA,NA,557,14,214,350,1,0,0,6,456,93,0,549,22,2015
NC-501,Asheville/Buncombe County CoC,562,40,29,NA,NA,NA,NA,NA,152,409,1,NA,NA,547,15,395,152,1,8,0,6,273,215,0,488,74,2015
NC-502,Durham City & County CoC,813,100,46,NA,NA,NA,NA,NA,205,608,0,NA,NA,781,32,248,532,0,3,0,30,434,335,0,769,44,2015
NC-503,North Carolina Balance of State CoC,3021,710,262,NA,NA,NA,NA,NA,1338,1682,1,NA,NA,2809,212,1480,1309,34,106,9,83,1827,534,0,2361,660,2015
NC-504,"Greensboro, High Point CoC",665,104,56,NA,NA,NA,NA,NA,206,459,0,NA,NA,651,14,179,450,2,6,1,27,342,209,0,551,114,2015
NC-505,Charlotte/Mecklenberg CoC,2001,498,117,NA,NA,NA,NA,NA,853,1146,2,NA,NA,1943,58,306,1651,8,11,2,23,1183,638,0,1821,180,2015
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",390,62,28,NA,NA,NA,NA,NA,108,282,0,NA,NA,362,28,229,143,2,5,0,11,198,71,0,269,121,2015
NC-507,Raleigh/Wake County CoC,904,185,78,NA,NA,NA,NA,NA,394,503,7,NA,NA,879,25,363,515,3,12,3,8,533,223,0,756,148,2015
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",281,56,29,NA,NA,NA,NA,NA,100,181,0,NA,NA,274,7,150,109,1,6,0,15,200,44,0,244,37,2015
NC-511,Fayetteville/Cumberland County CoC,593,97,50,NA,NA,NA,NA,NA,198,395,0,NA,NA,567,26,177,385,1,15,2,13,56,171,0,227,366,2015
NC-513,Chapel Hill/Orange County CoC,129,19,0,NA,NA,NA,NA,NA,35,93,1,NA,NA,118,11,41,76,0,1,0,11,81,28,0,109,20,2015
NC-516,Northwest North Carolina CoC,755,330,105,NA,NA,NA,NA,NA,399,355,1,NA,NA,659,96,712,39,4,0,0,0,89,27,0,116,639,2015
ND-500,North Dakota Statewide CoC,1305,265,152,NA,NA,NA,NA,NA,456,843,6,NA,NA,1215,90,774,232,16,184,5,94,640,179,0,819,486,2015
NE-500,Nebraska Balance of State CoC,549,181,60,NA,NA,NA,NA,NA,278,271,0,NA,NA,433,116,477,23,2,19,0,28,182,343,0,525,24,2015
NE-501,"Omaha, Council Bluffs CoC",1481,284,130,NA,NA,NA,NA,NA,459,1014,8,NA,NA,1273,208,904,433,13,55,11,65,1047,390,0,1437,44,2015
NE-502,Lincoln CoC,714,170,102,NA,NA,NA,NA,NA,275,437,2,NA,NA,641,73,450,130,10,45,5,74,264,395,0,659,55,2015
NH-500,New Hampshire Balance of State CoC,718,185,78,NA,NA,NA,NA,NA,312,403,3,NA,NA,697,21,666,23,1,1,1,26,489,153,0,642,76,2015
NH-501,Manchester CoC,400,113,30,NA,NA,NA,NA,NA,180,220,0,NA,NA,337,63,345,28,0,0,0,27,141,208,3,352,48,2015
NH-502,Nashua/Hillsborough County CoC,327,84,34,NA,NA,NA,NA,NA,124,203,0,NA,NA,291,36,301,13,5,1,0,7,140,174,5,319,8,2015
NJ-500,Atlantic City & County CoC,548,64,63,NA,NA,NA,NA,NA,147,401,0,NA,NA,486,62,258,276,12,1,0,1,440,34,0,474,74,2015
NJ-501,Bergen County CoC,340,72,49,NA,NA,NA,NA,NA,148,192,0,NA,NA,267,73,195,119,26,0,0,0,172,135,0,307,33,2015
NJ-502,Burlington County CoC,1347,410,149,NA,NA,NA,NA,NA,631,716,0,NA,NA,1231,116,596,738,1,1,7,4,1260,79,0,1339,8,2015
NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",1089,215,114,NA,NA,NA,NA,NA,404,685,0,NA,NA,910,179,494,579,1,1,9,5,684,270,0,954,135,2015
NJ-504,Newark/Essex County CoC,1610,320,232,NA,NA,NA,NA,NA,690,913,7,NA,NA,1420,190,254,1341,7,2,6,0,924,524,0,1448,162,2015
NJ-506,"Jersey City, Bayonne/Hudson County CoC",917,166,62,NA,NA,NA,NA,NA,293,624,0,NA,NA,568,349,452,451,8,1,0,5,554,194,0,748,169,2015
NJ-507,New Brunswick/Middlesex County CoC,604,150,48,NA,NA,NA,NA,NA,234,369,1,NA,NA,411,193,318,256,5,1,3,21,403,125,0,528,76,2015
NJ-508,Monmouth County CoC,456,147,38,NA,NA,NA,NA,NA,218,238,0,NA,NA,384,72,204,240,4,0,0,8,280,140,0,420,36,2015
NJ-509,Morris County CoC,384,100,35,NA,NA,NA,NA,NA,157,227,0,NA,NA,297,87,260,104,6,13,1,0,195,136,19,350,34,2015
NJ-510,Lakewood Township/Ocean County CoC,605,221,58,NA,NA,NA,NA,NA,321,282,2,NA,NA,528,77,417,184,2,0,0,2,561,27,0,588,17,2015
NJ-511,Paterson/Passaic County CoC,459,136,57,NA,NA,NA,NA,NA,234,225,0,NA,NA,317,142,191,265,1,1,1,0,403,26,0,429,30,2015
NJ-512,Salem County CoC,38,13,4,NA,NA,NA,NA,NA,18,20,0,NA,NA,38,0,15,23,0,0,0,0,15,22,0,37,1,2015
NJ-513,Somerset County CoC,342,73,29,NA,NA,NA,NA,NA,128,214,0,NA,NA,305,37,157,171,13,1,0,0,164,173,0,337,5,2015
NJ-514,Trenton/Mercer County CoC,600,98,64,NA,NA,NA,NA,NA,204,394,2,NA,NA,520,80,168,426,3,0,3,0,351,144,0,495,105,2015
NJ-515,Elizabeth/Union County CoC,504,170,47,NA,NA,NA,NA,NA,220,284,0,NA,NA,383,121,172,325,7,0,0,0,290,128,3,421,83,2015
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",255,49,25,NA,NA,NA,NA,NA,109,146,0,NA,NA,214,41,185,64,1,1,4,0,181,68,0,249,6,2015
NM-500,Albuquerque CoC,1287,293,102,NA,NA,NA,NA,NA,445,838,4,NA,NA,768,519,807,149,8,253,14,56,659,445,0,1104,183,2015
NM-501,New Mexico Balance of State CoC,1342,408,103,NA,NA,NA,NA,NA,641,699,2,NA,NA,749,593,921,64,4,334,3,16,728,343,0,1071,271,2015
