CoC Number,CoC Name,Overall.Total,Children & Youth Under 18,Youth 18 to 24,Youth & People 25 to 34,People 35 to 44,People 45 to 54,People 55 to 64,People Over 64,Women,Men,Transgender,Nonbinary,Gender Questioning,Non-Latino & Non-Hispanic,Latino,White,Black,Asian,Indigenous,Native Hawiian or Pacific Islander,Multiracial,Emergency Shelter,Transitional Housing Shelter,Safe Haven,In Shelter,Unsheltered,Year
KS-502,Wichita/Sedgwick County CoC,702,125,48,100,153,122,123,31,205,493,2,2,0,621,81,449,174,9,11,6,53,456,96,0,552,150,2023
KS-503,Topeka/Shawnee County CoC,407,59,21,65,103,75,68,16,162,243,0,1,1,366,41,292,74,1,20,2,18,194,56,0,250,157,2023
KS-505,"Overland Park, Shawnee/Johnson County CoC",235,68,18,41,44,27,33,4,104,131,0,0,0,190,45,128,58,1,9,0,39,120,65,0,185,50,2023
KS-507,Kansas Balance of State CoC,1082,169,57,233,257,197,151,18,493,583,3,2,1,952,130,809,160,1,34,5,73,599,197,10,806,276,2023
KY-500,Kentucky Balance of State CoC,2346,324,167,422,559,473,312,89,953,1373,9,11,0,2276,70,1957,300,5,9,9,66,1281,214,0,1495,851,2023
KY-501,Louisville-Jefferson County CoC,1605,204,91,277,344,311,279,99,570,1019,7,8,1,1505,100,887,612,6,15,1,84,757,267,0,1024,581,2023
KY-502,Lexington-Fayette County CoC,815,62,49,106,165,201,177,55,276,536,2,1,0,768,47,542,219,5,12,1,36,718,59,0,777,38,2023
LA-500,Lafayette/Acadiana CoC,452,91,16,78,102,81,65,19,179,269,1,2,1,429,23,182,242,6,3,2,17,258,30,4,292,160,2023
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",223,38,2,41,29,40,42,31,64,159,0,0,0,220,3,93,122,0,1,0,7,120,28,8,156,67,2023
LA-503,New Orleans/Jefferson Parish CoC,1390,105,95,190,287,277,309,127,377,993,13,6,1,1317,73,454,902,6,18,10,0,668,144,25,837,553,2023
